1,2021-11-08,1
2,2021-11-09,2
3,2021-11-10,3
4,2021-11-11,4
5,2021-11-12,5
6,2021-11-13,6
7,2021-11-14,7
8,2021-11-15,8
9,2021-11-16,9
10,2021-11-17,10
11,2021-11-18,11
12,2021-11-19,12
13,2021-11-20,13
14,2021-11-21,14
15,2021-11-22,15
16,2021-11-23,16
17,2021-11-24,17
18,2021-11-25,18
19,2021-11-26,19
20,2021-11-27,20
21,2021-11-28,21
22,2021-11-29,22
23,2021-11-30,23
24,2021-12-01,24
25,2021-12-02,25
26,2021-12-03,26
27,2021-12-04,27
28,2021-12-05,28
29,2021-12-06,29
30,2021-12-07,30
31,2021-12-08,31
32,2021-12-09,32
33,2021-12-10,33
34,2021-12-11,34
35,2021-12-12,35
36,2021-12-13,36
37,2021-12-14,37
38,2021-12-15,38
39,2021-12-16,39
40,2021-12-17,40
41,2021-12-18,41
42,2021-12-19,42
43,2021-12-20,43
44,2021-12-21,44
45,2021-12-22,45
46,2021-12-23,46
47,2021-12-24,47
48,2021-12-25,48
49,2021-12-26,49
50,2021-12-27,50
51,2021-12-28,51
52,2021-12-29,52
53,2021-12-30,53
54,2021-12-31,54
55,2022-01-01,55
56,2022-01-02,56
57,2022-01-03,57
58,2022-01-04,58
59,2022-01-05,59
60,2022-01-06,60
61,2022-01-07,61
62,2022-01-08,62
63,2022-01-09,63
64,2022-01-10,64
65,2022-01-11,65
66,2022-01-12,66
67,2022-01-13,67
68,2022-01-14,68
69,2022-01-15,69
70,2022-01-16,70
71,2022-01-17,71
72,2022-01-18,72
73,2022-01-19,73
74,2022-01-20,74
75,2022-01-21,75
76,2022-01-22,76
77,2022-01-23,77
78,2022-01-24,78
79,2022-01-25,79
80,2022-01-26,80
81,2022-01-27,81
82,2022-01-28,82
83,2022-01-29,83
84,2022-01-30,84
85,2022-01-31,85
86,2022-02-01,86
87,2022-02-02,87
88,2022-02-03,88
89,2022-02-04,89
90,2022-02-05,90
91,2022-02-06,91
92,2022-02-07,92
93,2022-02-08,93
94,2022-02-09,94
95,2022-02-10,95
96,2022-02-11,96
97,2022-02-12,97
98,2022-02-13,98
99,2022-02-14,99
100,2022-02-15,100
